2016001,Dupont,Alice,1995-01-01,F,28 rue du boulevard Lyon,2019-01-01,ClubLyon
2016002,Dupout,Bernard,1950-01-01,H,2 rue du avenue Lyon,2018-09-01,ClubLyon
2016003,Durand,Olivier,1955-01-01,H,7 rue du avenue Paris,2017-09-01,ClubParis
2016004,Drand,Mat,1975-01-01,H,7 rue du avenue Paris,2017-09-10,ClubParis
2016005,Durad,Louis,1971-01-01,H,7 rue du avenue Paris,2017-09-21,ClubParis
2016006,Drad,Louise,2000-01-01,F,7 rue du avenue Paris,2017-08-01,ClubParis
2016007,Rasde,nico,1955-07-01,H,7 rue du avenue Paris,2017-09-01,ClubParis
2016008,Polain,Chris,1899-01-01,H,7 rue du avenue Paris,2019-09-01,ClubParis
2017001,Paso,Bruno,1970-01-01,H,28 rue du avenue Paris,2018-09-21,ClubParis
2017002,Paso,Celine,1970-01-01,F,28 rue du avenue Lyon,2018-09-21,ClubLyon
2017003,Durand,Celine,1975-01-01,F,28 rue du avenue Paris,2018-09-21,ClubParis
2017004,Tuile,Mathilde,1999-01-01,F,28 rue du avenue Paris,2018-09-21,ClubParis
2017005,Roli,Lou,2010-01-01,F,28 rue du avenue Paris,2018-09-21,ClubParis
2017006,Roula,Celine,2001-01-01,F,28 rue du avenue Paris,2018-09-21,ClubParis
2018001,Laple,Marie,1989-01-01,F,28 rue du avenue Lyon,2018-09-11,ClubLyon
2018002,Laplo,Bernard,2000-01-01,H,15 rue du avenue Lyon,2018-07-01,ClubLyon
2018003,Oplia,Blandine,1899-01-01,F,17 rue du rue Lyon,2018-12-01,ClubLyon
2018004,Horil,Manu,1963-01-01,H,28 rue du avenue Lyon,2018-12-01,ClubLyon
2018005,Plios,Caroline,1978-01-01,F,28 rue du avenue Lyon,2018-09-01,ClubLyon
